key,x,y
"RESANGI, SL RIU SER",468906.59,4666795.49
"LACTIGUST SL LACTIGUST, SL",488133.0,4637722.0
FUNDACIO PRIVADA MONA FUNDACIÓ PRIVADA MONA (SORTIDA DEPURADORA),484864.4,4638912.33
"AFRUSE, SL AFRUSE, SL",344191.0,4557580.0
"SECTOR INDUSTRIAL ""EL FOIX"" SECTOR INDUSTRIAL FOIX (SORTIDA DEPURADORA)",384346.73,4571001.99
"CAMPING MORUNYS, SL RIU CARDENER (CAMPING MORUNYS, SL)",384036.46,4667175.14
"ESCOFET 1886, SA EDAR MARTORELL",410693.94,4592621.82
"CAN CLARENS, SL Abocament CAN CLARENS, SL - Sot de Can Montesell",458226.14,4610345.49
"UNITEX, SA (URX) UNITEX, SA (EDAR)",406954.98,4599770.86
"CA LA ROTLLADA, SL CA LA ROTLLADA, SL",451490.48,4655336.61
"MUNTADA FONT, JOAN -HOSTAL DEL COLL- HOSTAL DEL COLL (ARQUETA RECOLLIDA CUBA)",460620.41,4645247.52
"BASF ESPAÑOLA, SL BASF ESPAÑOLA-Abocament",349955.52,4549821.21
"INDUSTRIAS QUÍMICAS DEL ÓXIDO DE ETILENO, SA ABOC.IND.QUIMICA DEL OXIDO DE ETILENO",348505.52,4550596.23
"DIPÒSIT DE RUNA TERRA NEGRA, SL DIPÒSIT DE RUNA TERRA NEGRA, SL",505971.62,4662940.2
"ALCOVER QUÍMICA, SL Abocament 1 ALCOVER QUÍMICA, SL - Barranc de la Font Major",347750.67,4570721.26
"SERVEIS D'INCINERACIO DE RESIDUS URBANS, SA SIRUSA",351105.56,4555796.21
"SOCIETAT GENERAL D'AIGÜES DE BARCELONA, SA SOCIETAT GENERAL D'AIGÜES DE BARCELONA, SA (REBUIG OSMOSIS)",420405.84,4578195.72
"ASFALTOS ESPAÑOLES, SA ABOCAMENT ASFALTOS ESPAÑOLES, SA (AIGÜES DE PROCÉS, SANITÀRIES, DE NETEJA, PLUVIALS, DESLLASTS VAIXE",349905.53,4551906.22
"E.ON GENERACIÓN, SL Emissari de Repsol Química",349919.52,4550158.21
"INOVYN ESPAÑA, SL ABOCMARMEDITERRANIA (HISPAVIC IBERICA, S.A)",410705.94,4593220.82
"SPOERRY COMAS, ERICH SPOERRY COMAS,ERICH (AIGÜES SANITÀRIES SORTIDA DEPURADORA INFILTRACIÓ)",387009.09,4617541.04
"COMAIGUA, SL (RIUDECANYES) PLANTA POTABILITZADORA AJUNTAMENT DE RIUDECANYES (SORTIDA RENTAT FILTRES)",329069.53,4555261.38
"FRESH WATER NATURE, SL FRESH WATER NATURE, SL - ITAM LLOBREGAT",427270.0,4573081.0
"ROSARIUM MOLLET DE PERELADA, SL  -RESTAURANT MAS RENART- ROSARIUM MOLLET DE PERELADA, SL  -RESTAURANT MAS RENART-  (SORTIDA DEPURADORA EMPRESA)",499939.82,4690622.29
"ESTACION DE SERVICIO CORRAL, SL AA2002000691-EDAR de Rubí",422405.95,4592295.73
"NUPIK INTERNACIONAL, SL NUPIK INTERNACIONAL, SA (SORTIDA AIGÜES RESIDUALS)",430406.02,4599635.68
"MAS MARCÈ, SCP  -PLANTA FORMATGES- MAS MARCÉ, SCP (ARQUETA RECOLLIDA CUBES)",499465.69,4673296.27
"GRUES SANT CELONI, SL ABOCAMENT GRUES SANT CELONI, PLUVIALS HIDROCARBURADES A LLERA",456993.0,4613938.0
"PMT-EUROPE, SL TORRENT DEL MINYÓ INDEL INDUSTRIAL ELECTROLITICA,SA 021992000078",459423.51,4629005.83
"NURI I ESPADALER, SL NURI I ESPADALER, SL (SORTIDA RESIDUALS)",439956.38,4644895.68
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU - PEATGE DE BANYERES AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU: BARRANC INNOMINAT",377194.71,4569755.04
"BATALLA BUSQUETS, JOSEP MARIA JOSEP MARIA BATALLA BUSQUETS (SORTIDA DEPURADORA)",463292.3,4629533.48
"SCHÜTZ IBÉRICA, SL SCHUTZ IBERICA_Abocament",356855.74,4578146.2
"MACH VALLS, ANTONI ANTONI MACH VALLS - RESTAURANT : INFILTRACIÓ AL TERRENY",475363.79,4692012.48
"IMPRO LACORTE, SL IMPRO LACORTE SL (SORTIDA DEPURADORA)",467976.24,4620345.43
JUNTA COMPENSACIÓN UDAD ACTUACIÓN Z RES. OLIVELLA JUNTA DE COMPENSACIÓ ZONA RESIDENCIAL OLIVELLA (SORTIDA DEPURADORA),404748.76,4571197.83
"FCC CONSTR. I SERVIÀ CANTÓ, SA (UTE VAR. VALLIRANA) UTE VALLIRANA (SORTIDA TRACTAMENT FÍSICOQUÍMIC)",411683.86,4582209.8
"PLASTERLINK - INVEST, SL ABOCAMENT PLASTERLINK - INVEST, SL (SANITÀRIES)",418558.94,4591290.76
AJUNTAMENT DE SANT ESTEVE SESROVIRES - POL.IND. ANOIA POLÍGON INDUSTRIAL ANOIA_SANT ESTEVE SESROVIRES (SORTIDA DEPURADORA),405867.92,4591922.85
"DISTRIBUCIONS FIGUERES, SL DISTRIBUCIONS FIGUERAS, SL (SORTIDA DEPURADORA)",506236.79,4686000.24
"CONFIGIRONA, SA CONFIGIRONA, SA  (SORTIDA AIGÜES PLUJANES + REFRIGERACIÓ)",472659.0,4646705.0
"LES AMFORES NATURA, SL LES AMFORES NATURA (RIERA DE VILALLEONS)",442471.0,4638240.0
"GARCÍA GONZÁLEZ, ROSA ROSA GARCIA GONZALEZ: INFILTRACIÓ",475006.0,4660295.0
"RETEVISION I, S.A.U. Centre radioenlace Retevisión",407905.8,4574795.81
"RESTAURANT CAN RASPALL, SCP Abocament 021998000972",442406.01,4596295.58
"2 GRAUS 2009, SL -RESTAURANT MAS TARRÉ- Abocament RESTAURANT MAS TARRE SCP - riera Gotarra",491863.34,4629696.26
"HERAS COLOMER, NÚRIA NÚRIA HERAS COLOMER (SORTIDA PRETRACTAMENT)",505372.53,4652008.19
"ECO-GIRONINA DE DEPÒSITS, SL ECOGIRONINA DE DIPÒSITS, SL (AIGÜES DOMÈSTIQUES INFILTRACIÓ TERRENY)",479830.0,4635620.0
"CHARLOT EDMOND, MICHAEL MICHAEL CHARLOT EDMOND: INFILTRACIÓ EN EL TERRENY",514518.0,4655841.0
"FORTEA FABRA, JOSEP I FRANCES WEBSTER, DIANAN DIANA FRANCES WEBSTER: INFILTRACIÓ EN EL TERRENY",514537.0,4655871.0
