uwwCode,pe,dcpCode,dcpName,dcpLatitude,dcpLongitude,pop_2015_g,country_id
PLLO0010,895988.206,PLLO0010Z,dcp GOŚ ŁAM,51.7249,19.3375,427449.722650768,PL
PLLE1200N,2645.757,PLLE1200NZ,dcp Gminna Oczyszczalnia Ścieków w Konstantynowie,52.2024,23.098,2929.88667784445,PL
PLLE1210N,3225.933,PLLE1210NZ,dcp Zamch,50.3095,22.9994,1748.32756464556,PL
PLLE1220N,2616.3,PLLE1220NZ,dcp Bytyń,51.3375,23.633,50709.1689441614,PL
PLLE1250N,3558.868,PLLE1250NZ,dcp Bystyrzyca,50.9767,22.411,10166.3608887419,PL
PLLE1100N,1848.675,PLLE1100NZ,dcp Urzędów,50.9932,22.1278,10100.6068135812,PL
PLLE1110N,3116.88,PLLE1110NZ,dcp bez nazwy,51.5513,22.5399,192.637675821781,PL
PLLE1120N,2239.784,PLLE1120NZ,dcp Jeziorzany,51.5994,22.2558,19251.4715911103,PL
PLLE1130N,1287.612,PLLE1130NZ,dcp Piotrowice,51.0859,22.4785,4285.40435262513,PL
PLLE0970N,1348.958,PLLE0970NZ,dcp biologiczno-mechaniczna,51.232,21.5813,23124.0456306161,PL
PLLE1040N,2118.214,PLLE1040NZ,dcp Gminna oczyszczalnia ścieków w Biszczy,50.4395,22.617,45658.9895839414,PL
PLLE1060N,1984.64,PLLE1060NZ,dcp Różaniec Pierwszy,50.2,22.51,499.262310504913,PL
PLLE1080N,1403.061,PLLE1080NZ,dcp ECOLO-CHIEF,50.6551,23.9196,1741.16380784288,PL
PLLE0943N,270.375,PLLE0943NZ,dcp NIEMIRÓWEK – KOL.,50.5511,23.3543,687.312991155311,PL
PLLE0944N,496.975,PLLE0944NZ,dcp WIEPRZÓW TARNAWACKI,50.5024,23.425,647.855009151623,PL
PLLE0950N,2858.93,PLLE0950NZ,dcp Urszulin,51.3914,23.2021,2055.60888199136,PL
PLLE0960N,2167.152,PLLE0960NZ,dcp Dębina,51.9465,21.9849,6434.35604378488,PL
PLLE0910N,2028.766,PLLE0910NZ,dcp Czemierniki,51.6814,22.6401,2492.26077348273,PL
PLLE0930N,4448.136,PLLE0930NZ,dcp Wohyń,51.7624,22.776,4940.09531730786,PL
