id,name_ci,name_ind,lat,lon,utm_x,utm_y,edar_name,edar_code,ind_id,capt_id,delete,conca
79,pt0164,pt068,42.07107878,2.301548792,442220.2006,4657904.052,,,477,,no,ter
80,pt0166,pt060,42.21195785,2.484672209,457463.6452,4673438.623,,,541,,no,fluvia
81,pt0168,pt062,42.20283274,2.490901277,457971.76,4672422.343,EDAR OLOT,ES9171140003010E,540,,no,fluvia
82,pt0170,pt064,42.14707256,2.450058788,454560.132,4666252.069,,,,,yes,fluvia
83,pt0172,pt070,42.05287437,2.880701557,490128.1692,4655653.717,,,,,yes,ter
84,pt0174,pt066,42.14244523,2.439557605,453689.078,4665743.929,,,530,,no,fluvia
85,pt0176,pt072,42.010682,2.505585687,459060.5775,4651080.455,,,453,,no,ter
86,pt0178,pt074,42.06926848,2.945600702,495499.6688,4657468.503,,,398,,no,ter
87,pt0180,pt076,42.09599568,2.855164621,488023.1221,4660444.753,,,404,,no,ter
88,pt0182,pt068,42.18135584,2.705543774,475683.1908,4669954.233,,,556,,no,fluvia
89,pt0184,pt078,42.01784709,2.367008651,447591.7002,4651951.553,EDAR SANTA MARIA DE CORCÓ-L'ESQUIROL,ES9082540003000E,454,,no,ter
90,pt0186,pt070,42.12483202,2.447616599,454342.3685,4663783.96,,,594,,no,fluvia
91,pt0188,pt041,42.21107718,2.867213464,489039.3518,4673220.849,,,528,,no,muga
92,pt0190,pt072,42.15561685,2.623072788,468859.9347,4667123.166,,,562,,no,fluvia
93,pt0192,pt074,42.14683538,2.402622048,450640.3891,4666252.069,,,533,,no,fluvia
94,pt0194,pt080,42.02702389,2.371301839,447954.6393,4652967.833,,,,,yes,ter
95,pt0196,pt082,42.08222446,2.825357256,485555.1359,4658920.332,,,,,yes,ter
96,pt0198,pt084,42.01180005,2.338139685,445196.3017,4651298.23,,,578,,no,ter
97,pt0200,pt076,42.1447813,2.385072014,449188.6324,4666034.295,,,532,,no,fluvia
98,pt0202,pt086,42.07651705,2.336590111,445123.7139,4658484.784,,,,,yes,ter
99,pt0204,pt088,42.01642172,2.473103337,456374.8277,4651733.778,,,,,yes,ter
100,pt0206,pt090,42.02284159,2.932488419,494410.8513,4652314.51,,,,,yes,ter
101,pt0208,pt078,42.14295642,2.556386092,463343.2595,4665743.929,,,617,,no,fluvia
102,pt0210,pt092,42.19341294,2.314141421,443371.0202,4671478.654,,,,,yes,ter
103,pt0212,pt094,42.04284614,2.395703596,449987.0986,4654710.028,,,455,,no,ter
104,pt0214,pt096,42.12069174,2.765538224,480619.1634,4663203.228,,,410,,no,ter
105,pt0216,pt098,42.13590017,2.317525471,443599.3694,4665090.606,,,478,,no,ter
106,pt0218,pt100,42.03333839,2.45895465,455215.237,4653619.341,,,,,yes,ter
107,pt0220,pt102,42.00496661,2.190075503,432928.9583,4650644.907,,,,,yes,ter
108,pt0222,pt104,42.09085026,2.371220439,448000.0014,4660054.568,,,,,yes,ter
