activitat;Punt2
RODELLAS-SORTS, S.L;258
CAMPING LLUÇANES, S.A.;258
VENI ESPORT, SL;263
REIXAGÓ AGRÍCOLA I RAMADERA, SL;261
REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS, SA;314
TEXPACK ENGINEERING, SA;259
CAMPING PUIGCERCOS, SL;591
FILATS GONFAUS, SA;267
INTERNITCO COMERÇ, SL;586
CONILL SEGARRA, JAUME;266
CATALANA DE EMBUTIDOS, SA;265
BERGUEDÀ NÀUTIC, S.L;276
CAMPING CAMPALANS SL;277
CONSELL COMARCAL DEL BERGUEDÀ;274
CONSELL COMARCAL DEL BERGUEDÀ;274
CONSELL COMARCAL DEL BERGUEDÀ;274
CAMPING FONT FREDA, SA;605
GESTORA DE RUNES DE MUNTANYA, SL;278
FERNANDEZ MARCENARO, FERNANDO;605
AJUNTAMENT DE BERGA;275
ENDESA GENERACION, SA -CH LA BAELLS;276
JIMENEZ MUÑOZ, MANUEL (BIG FAI, RESIDENCIA CANINA);308
CARERAC, SL;302
CASINO DE FIGARÓ;322
SOTA EL SUI, SL (HOTEL CAN CUCH);322
AHLSTROM BARCELONA, SAU;153
DICEPA HIGIENE, SL;154
CENTRE DE GESTIÓ MEDIAMBIENTAL, SL;157
GARVE , SA;157
UNION INDUSTRIAL PAPELERA, SA;155
COGENERACION UFIC, SA;155
UNION INDUSTRIAL PAPELERA, SA;155
MB. PAPELES ESPECIALES, SA;156
TINTES IGUALADA, SA;153
FERRER VILARRUBI, SA;152
DICEPA HIGIENE, SL;154
MB. PAPELES ESPECIALES, SA;156
SNOP ESTAMPACION, SA;158
FRAGNOR, SL;153
TGB, SA;153
DICEPA HIGIENE, SL;154
FRAGNOR, SL;153
LABORATORIO JAER, SA;602
J. VILASECA, SA;154
IMPRESS DISEÑO IBERIA, SA;323
COMAQUIN, SA;323
PUIGJANER AMAT, LLUISA;321
ENVASES DEL VALLES, SA;323
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;320
ADES, SL;319
SERRA BOSCH, ANNA (RESTAURANTE TRES PINS);320
CONSTRUCCIONES MEC├üNICAS LLAMADA, SL;320
AGIP ESPAÑA, SA (E.S. MONTSENY);325
ECOLOGIA Y MEDIOAMBIENTE INTEGRADOS, SL (ECOPIL);319
PARC DE BELLOCH, SL;320
AJUNTAMENT DE SANT PERE DE VILAMAJOR;323
